StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_DuplicateRespondent," ",Q1," "," ",Q2,Q2_6_TEXT," "," ",QID9," "," ",Q3," "," "," ",Q4,Q5," "," ",Q6," ",Q7_NPS_GROUP,Q7,QID21,Q22," "," ",Q_RecaptchaStatus,Q_RecaptchaError,Q_DuplicateRespondentStatus,Q_BallotBoxStuffing
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,Q_DuplicateRespondent,I agree to participate in this survey.,How often do you engage with the library (physically or online)?,"What are the primary reasons you haven't needed the library’s resources? (e.g., using personal materials, lack of time, lack of training",What library resource or resources keep you coming back?,Which library service is the most essential to your professional goals this semester? - Selected Choice,Which library service is the most essential to your professional goals this semester? - Other - Text,What is the best kept secret that you’ve discovered to help you with your work?,What does the physical PNWU library space have that you can’t find elsewhere on campus?,Can you share an example of a ‘Book a Librarian’ consultation that particularly helped you?,Could you share more about your response?,"What are the primary reasons you haven't used the library’s resources? (e.g., using personal materials, lack of time, difficulty navigating online, previous experience)",How effectively does the library support your department’s need for data-driven decision-making by either supplying you with internal data or external data from resources?,Is this question not applicable or are you unsure if the library provides data and resources for your department?,What specific data or documentation is currently difficult to access or interpret for your team?,What additional data would your team need to move the needle to ‘very effectively’?,"We’re moving past one-page summary reports to bring our library’s hidden data to life. What’s something 'under the hood' you’d love to know about how we operate or what we do but wouldn’t find on our website?

Note: Your response will be used by the AI Insights Bot to inform anticipated output metrics and visualizations","Can you describe a cross-departmental collaboration with the library (e.g., with IT, Student Affairs, or a program) that improved a university workflow?

Note: These responses will be used by the AI Insights Bot to highlight ""Internal Capacity"" wins to the Executive Leadership Team.",Please tell us briefly about the collaboration and what made it successful.,"How can the library assist your department (e.g., connecting you to resources/information, providing training, developing a new service)?","If you ever used the library’s resources to make an informed healthcare decision for you or a family member, reflect on the experience.  What did having access to quality health information mean to you?","In your opinion, what makes our library valuable to our community members?","How likely are you to reference or use the “Your Library, Your Impact” dashboard in reports, strategic planning, or leadership meetings? - Group","How likely are you to reference or use the “Your Library, Your Impact” dashboard in reports, strategic planning, or leadership meetings?","What single piece of evidence could the library provide that would make your next budget, strategic plan, department documentation, or accreditation report even stronger?",Prefix,"Name (and credentials, if preferred)",Department,Q_RecaptchaStatus,Q_RecaptchaError,Q_DuplicateRespondentStatus,Q_BallotBoxStuffing
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_DuplicateRespondent""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_6_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID20_NPS_GROUP""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""Q_RecaptchaStatus""}","{""ImportId"":""Q_RecaptchaError""}","{""ImportId"":""Q_DuplicateRespondentStatus""}","{""ImportId"":""Q_BallotBoxStuffing""}"
2026-02-20 16:22:26,2026-02-20 16:22:32,Survey Preview,100,6,True,2026-02-20 16:22:33,R_7NB8iQGMqpurpEl,preview,EN,1,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,complete,,,
2026-02-21 18:50:18,2026-02-21 18:51:38,IP Address,100,80,True,2026-02-21 18:51:39,R_2CVYEiXuSLK5ukN,anonymous,EN,0.8999999761581421,,Yes,Monthly,,,Other,,,,,,,3 Moderately effectively,,,,,,,,,,Detractor,5,,,,,complete,,,
2026-02-26 11:08:00,2026-02-26 11:11:45,IP Address,100,225,True,2026-02-26 11:11:46,R_2SuGE4XCiznIu2E,anonymous,EN,1,,Yes,Rarely,,,,,,,,,,,,,,,,,,,,,,,,,,complete,,,
2026-02-26 13:07:30,2026-02-26 15:07:30,IP Address,100,7200,True,2026-02-26 15:07:31,R_3GDhA9IlNZ6S9kd,anonymous,EN,0.8999999761581421,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,complete,,,
2026-02-27 14:34:26,2026-02-27 14:34:31,Survey Preview,100,4,True,2026-02-27 14:34:31,R_1IWXwAYrqdyfCLg,preview,EN,0.8999999761581421,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,complete,,,
2026-02-27 15:30:51,2026-02-27 15:32:40,Survey Preview,100,108,True,2026-02-27 15:32:40,R_7OMeQdljrxdRfRT,preview,EN,1,,Yes,Monthly,,,"""Book a Librarian"" Consultations",,,,,,,,,,,,,,,,,,,,,,,complete,,,
2026-02-28 18:08:51,2026-02-28 19:21:12,Survey Preview,100,4340,True,2026-02-28 19:21:12,R_22mNPR1kkhssF69,preview,EN,0.6000000238418579,,Yes,Daily,,adfdsfsdfds,I do not use the library,,,,,,adfdasfsdfsf,4 Effectively,,,asfdsafdsf,asfdsfdf,,,,,,,,,Blank,asdfdsaf,asdfdsfsd,complete,,,
2026-03-01 19:58:26,2026-03-01 20:15:57,IP Address,100,1050,True,2026-03-01 20:15:58,R_22AdjyFrQIsnyMs,qr,EN,1,,Yes,Daily,,"Databases, Pubmed, Citations and Style Guides","Digital Resources (Databases, Journals, E-books)",,"Best bets links are super helpful at the top of the library homepage.  ",,,,,5 Very Effectively,,,,How do librarians choose the resources that they acquire on a regular basis? Are resources acquired if they are popular and is in demand or do librarians try to predict which resources will be useful to acquire them?,Yes,"Collaboration with IT in making sure user’s PNWU credentials work well in accessing library resources. ",,"Being able to access peer reviewed scholarly quality health information gives me confidence that the information I am reading is accurate, truthful, and trustworthy. ","It gives the community access to knowledge so they can make informed decisions to better their life. Accurate, trustworthy, credible, updated information is super important especially in this time when the government is actively trying to block education and resources for the public. Knowledge is power and people deserve the right to learn. Libraries help us grow and become better educated people. ",Promoter,10,"Evidence that people put high value in the library resources and library employees. Evidence that the library is being used often and it is in demand and that the library is not a dead space. ",,,,complete,,,
