response_id,frequent_use_reason,digital_resources_secret,other_service_text,data_support_unknown_reason,data_access_difficulty,data_needed_for_very_effective,most_compelling_metric,workflow_collaboration_story,healthcare_info_experience,evidence_for_reports
R_7NB8iQGMqpurpEl,,,,,,,,,,
R_2CVYEiXuSLK5ukN,,,,,,,,,,
R_2SuGE4XCiznIu2E,,,,,,,,,,
R_3GDhA9IlNZ6S9kd,,,,,,,,,,
R_1IWXwAYrqdyfCLg,,,,,,,,,,
R_7OMeQdljrxdRfRT,,,,,,,,,,
R_22mNPR1kkhssF69,adfdsfsdfds,,adfdasfsdfsf,,asfdsafdsf,,asfdsfdf,,,
R_22AdjyFrQIsnyMs,"Databases, Pubmed, Citations and Style Guides",Best bets links are super helpful at the top of the library homepage.  ,,,,Collaboration with IT in making sure user’s PNWU credentials work well in accessing library resources. ,How do librarians choose the resources that they acquire on a regular basis? Are resources acquired if they are popular and is in demand or do librarians try to predict which resources will be useful to acquire them?,4.0,"Being able to access peer reviewed scholarly quality health information gives me confidence that the information I am reading is accurate, truthful, and trustworthy. ","It gives the community access to knowledge so they can make informed decisions to better their life. Accurate, trustworthy, credible, updated information is super important especially in this time when the government is actively trying to block education and resources for the public. Knowledge is power and people deserve the right to learn. Libraries help us grow and become better educated people. "
R_1kSUbuAohDJ1LHf,Friendly staff,The librarians can always find what I need,,They seem to either be always busy or always slow when I walk in with questions. I  don’t know how that translates into their door count. ,,They teach students in the classroom for a few classes and students have commented that the sessions are helpful. ,How do librarians keep up with all of the URL changes to articles? ,4.0,It meant I was able to talk to the doctor about my mother’s health in an informed manner. ,It’s the only health sciences library in Yakima. 
R_3Gd0CVhnhPT4Qnp,,,,,,,,5.0,,
R_2zO6jSbNXDjZntx,,,,,,,,5.0,,
