StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_DuplicateRespondent," ",Q1," "," ",Q2,Q2_6_TEXT," "," "," "," ",Q3," "," ",Q4," "," "," ",Q5,Q6," ",Q7_NPS_GROUP,Q7," "," "," "," ",Q_RecaptchaStatus,Q_RecaptchaError,Q_DuplicateRespondentStatus,Q_BallotBoxStuffing
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Q_DuplicateRespondent,I agree to participate in this survey,How often do you engage with the library (physically or online)?,What library resource keeps you coming back?,What are the primary reasons you haven’t used the library?,Which library service has been most essential to your studies this semester? - Selected Choice,Which library service has been most essential to your studies this semester? - Other - Text,What is the best kept secret that you’ve discovered to help you with your studies?,What does the physical PNWU library space have that you can’t find elsewhere on campus?,Can you share an example of a ‘Book a Librarian’ consultation that particularly helped you?,Did you checkout an osteopathic table or were you thinking of something else?,"On a scale of 1–5, how confident do you feel independently identifying authoritative health information for clinical decision-making?","Which specific part of the search process is most challenging for you? (e.g., picking the right database, identifying keywords, evaluating source credibility).",What advice do you have for others hoping to develop that skill?  Are there specific library resources that helped you develop it?,How satisfied are you with the availability of required course materials through the library? These may or may not be in Moodle.,Which specific resource or textbook were you unable to find?,Could you share more about your response?,Where do you typically access your required course materials?,Can you describe an experience during which a librarian or a library resource made a tangible difference in your academic success?,"What is the one library service or resource that best supports your preparation for standardized exams (e.g., boards, licensure)?",What is the most useful thing about this resource?,How likely are you to recommend our library services to a classmate? - Group,How likely are you to recommend our library services to a classmate?,What is the single most important factor that led you to give this score?,Name,Degree Program,Class of,Q_RecaptchaStatus,Q_RecaptchaError,Q_DuplicateRespondentStatus,Q_BallotBoxStuffing
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_DuplicateRespondent""}","{""ImportId"":""QID4""}","{""ImportId"":""QID1""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_6_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID21_NPS_GROUP""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID28""}","{""ImportId"":""Q_RecaptchaStatus""}","{""ImportId"":""Q_RecaptchaError""}","{""ImportId"":""Q_DuplicateRespondentStatus""}","{""ImportId"":""Q_BallotBoxStuffing""}"
2026-02-20 10:31:07,2026-02-20 10:32:19,1,,100,72,1,2026-02-20 10:32:20,R_2Bs8DO1qWsQr8XE,,,,,47.158,-122.5462,preview,EN,,,1,4,,,1,,,,,,1,,,1,,,,,,,3,10,,,,,error,executionFailed,,
2026-02-20 10:36:09,2026-02-20 10:36:13,1,,100,3,1,2026-02-20 10:36:14,R_2fwDNWPIGlKfGJI,,,,,47.158,-122.5462,preview,EN,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,error,executionFailed,,
2026-02-20 10:36:18,2026-02-20 10:37:12,1,,100,54,1,2026-02-20 10:37:13,R_uwenAe3JCMbC4Jr,,,,,47.158,-122.5462,preview,EN,,,1,1,,,1,,,,,,5,,,1,,,,,,,3,10,,,,,error,executionFailed,,
2026-02-20 15:23:16,2026-02-20 15:23:37,1,,100,20,1,2026-02-20 15:23:37,R_Z3G1z9llQ1N27kZ,,,,,47.158,-122.5462,preview,EN,0.8999999761581421,,1,,,,,,,,,,,,,,,,,,,,,,,,,,complete,,,
2026-02-21 18:22:30,2026-02-21 18:27:53,0,76.91.209.82,100,323,1,2026-02-21 18:27:54,R_302HS4wW0igckhj,,,,,34.3802,-118.5219,anonymous,EN,0.8999999761581421,,1,1,,,3,,,,,,2,,,3,,,,,,,1,5,,,,,complete,,,
2026-02-26 11:12:00,2026-02-26 11:13:21,0,69.55.210.101,100,81,1,2026-02-26 11:13:22,R_3iniMJjbOE5Ho6d,,,,,46.6039,-120.5058,anonymous,EN,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,complete,,,
2026-02-26 12:07:25,2026-02-26 12:19:36,0,69.55.210.101,100,731,1,2026-02-26 12:19:37,R_3sjBpPlOEN84TQB,,,,,46.6039,-120.5058,anonymous,EN,0.8999999761581421,,1,,,,,,,,,,,,,,,,,,,,,,,,,,complete,,,
2026-02-27 12:19:52,2026-02-27 12:22:56,1,,100,184,1,2026-02-27 12:22:56,R_3fqvlSZsEIH4oOr,,,,,47.158,-122.5462,preview,EN,0.8999999761581421,,2,,,,,,,,,,,,,,,,,,,,,,,,,,complete,,,
2026-02-27 13:17:10,2026-02-27 13:17:15,1,,100,4,1,2026-02-27 13:17:15,R_u3MjnTmwARihde1,,,,,47.158,-122.5462,preview,EN,0.8999999761581421,,2,,,,,,,,,,,,,,,,,,,,,,,,,,complete,,,
2026-02-27 15:31:30,2026-02-27 15:32:25,1,,100,54,1,2026-02-27 15:32:25,R_yW6d2AV8ZKtsEz7,,,,,47.6733,-122.3426,preview,EN,0.8999999761581421,,,,,,,,,,,,,,,,,,,,,,,,,,,,complete,,,
2026-02-28 15:30:48,2026-02-28 16:18:00,0,35.135.58.254,100,2831,1,2026-02-28 16:18:01,R_1IFA5mQVS6EomTT,,,,,46.6165,-120.7094,anonymous,EN,1,true,1,3,,,2,,,,,,1,where to actually start my search,,4,,,,jfdkafjkdlfdjf,jkfajfkslfjkdsf,afdafdsfds,1,5,adfdafd,,,,complete,,,
2026-03-03 12:32:18,2026-03-03 12:36:17,0,174.215.112.244,100,239,1,2026-03-03 12:36:18,R_2aVLP1p5pfI30xb,,,,,47.6109,-122.3303,qr,EN,1,,1,2,,,2,,,,,,4,,Accessing Uptodate has been essential.,3,,,,"The library staff were a reliable resource for information, book keeping, and printing jobs.",UptoDate,The clinical relevance and real-time utilization.,2,8,The library staff are always so helpful!!!,Jan Jimenez,1,1,complete,,,
2026-03-10 15:58:50,2026-03-10 16:04:58,0,73.96.242.3,100,368,1,2026-03-10 16:04:59,R_1mr8OsMAqHw8sKy,,,,,45.5288,-122.6821,anonymous,EN,1,,1,1,,"I physically go to my local library to print things. I have been able to find what I need independently, so have not utilized the library otherwise. ",4,,,,Utilized in focusing my search and topic for bioethics elective,,4,,,3,,,,Helping with focusing my research topic.,"I have not used library services for standardized exams. I use Uworld, First Aid, and Truelearn. ",,2,8,"They are available, kind, and willing to help. ",,1,1,complete,,,
2026-03-11 19:37:45,2026-03-11 19:39:53,0,172.82.33.21,100,127,1,2026-03-11 19:39:54,R_2V2vDcajF6D41Sd,,,,,46.5922,-120.53,qr,EN,1,,1,3,"Textbook and online resources ",,2,,,,,,4,,,5,,,,"Helpfulness in writing research prompts for research database searches ","Textbooks with exercise questions ","Active practice ",3,9,Our library staff willingness to support our individual success!,,1,4,complete,,,
