response_id,frequent_use_reason,low_use_reason,study_space_value,book_librarian_impact,search_process_challenge,health_info_advice,academic_success_story,exam_support_resource,exam_support_stress_reduction,nps_reason
R_2Bs8DO1qWsQr8XE,,,,,,,,,,
R_2fwDNWPIGlKfGJI,,,,,,,,,,
R_uwenAe3JCMbC4Jr,,,,,,,,,,
R_Z3G1z9llQ1N27kZ,,,,,,,,,,
R_302HS4wW0igckhj,,,,,,,,,,
R_3iniMJjbOE5Ho6d,,,,,,,,,,
R_3sjBpPlOEN84TQB,,,,,,,,,,
R_3fqvlSZsEIH4oOr,,,,,,,,,,
R_u3MjnTmwARihde1,,,,,,,,,,
R_yW6d2AV8ZKtsEz7,,,,,,,,,,
R_1IFA5mQVS6EomTT,,,,,where to actually start my search,,jfdkafjkdlfdjf,jkfajfkslfjkdsf,afdafdsfds,adfdafd
R_2aVLP1p5pfI30xb,,,,,,Accessing Uptodate has been essential.,"The library staff were a reliable resource for information, book keeping, and printing jobs.",UptoDate,The clinical relevance and real-time utilization.,The library staff are always so helpful!!!
R_1mr8OsMAqHw8sKy,,"I physically go to my local library to print things. I have been able to find what I need independently, so have not utilized the library otherwise. ",,Utilized in focusing my search and topic for bioethics elective,,,Helping with focusing my research topic.,"I have not used library services for standardized exams. I use Uworld, First Aid, and Truelearn. ",,"They are available, kind, and willing to help. "
R_2V2vDcajF6D41Sd,Textbook and online resources ,,,,,,Helpfulness in writing research prompts for research database searches ,Textbooks with exercise questions ,Active practice ,Our library staff willingness to support our individual success!
R_31Qt9H1kfy67uA1,"Study space, librarians, books and databases hosted online ",,"librarians and a safe space, free from judgement!",,,,"Small moments of encouragement from librarians during stressful times can make a real difference. Hearing a few kind words when things feel overwhelming helps me reset, keep my head in the game, and stay motivated to keep going.",N/A for dental curriculum ,TBD,the library team! 
