StartDate,EndDate,Status,progress_pct,duration_seconds,Finished,recorded_date,response_id,consent,library_engagement,frequent_use_reason,essential_service,digital_resources_secret,other_service_text,data_support_effectiveness,data_support_unknown_reason,data_access_difficulty,most_compelling_metric,workflow_collaboration_story,data_needed_for_very_effective,healthcare_info_experience,evidence_for_reports,dashboard_use_nps_group,dashboard_use_nps_score,QID21,Q22,prefix,name,Q_RecaptchaStatus,data_support_effectiveness_num,dashboard_use_nps_group_calc,duration_minutes,survey_month
2026-02-20 16:22:26,2026-02-20 16:22:32,1,100,6,1,2026-02-20 16:22:33,R_7NB8iQGMqpurpEl,2,,,,,,,,,,,,,,,,,,,,complete,,,0.1,2026-02
2026-02-21 18:50:18,2026-02-21 18:51:38,0,100,80,1,2026-02-21 18:51:39,R_2CVYEiXuSLK5ukN,1,2.0,,6.0,,,3.0,,,,,,,,1.0,5.0,,,,,complete,,Detractor,1.3,2026-02
2026-02-26 11:08:00,2026-02-26 11:11:45,0,100,225,1,2026-02-26 11:11:46,R_2SuGE4XCiznIu2E,1,1.0,,,,,,,,,,,,,,,,,,,complete,,,3.8,2026-02
2026-02-26 13:07:30,2026-02-26 15:07:30,0,100,7200,1,2026-02-26 15:07:31,R_3GDhA9IlNZ6S9kd,1,,,,,,,,,,,,,,,,,,,,complete,,,120.0,2026-02
2026-02-27 14:34:26,2026-02-27 14:34:31,1,100,4,1,2026-02-27 14:34:31,R_1IWXwAYrqdyfCLg,2,,,,,,,,,,,,,,,,,,,,complete,,,0.1,2026-02
2026-02-27 15:30:51,2026-02-27 15:32:40,1,100,108,1,2026-02-27 15:32:40,R_7OMeQdljrxdRfRT,1,2.0,,4.0,,,,,,,,,,,,,,,,,complete,,,1.8,2026-02
2026-02-28 18:08:51,2026-02-28 19:21:12,1,100,4340,1,2026-02-28 19:21:12,R_22mNPR1kkhssF69,1,4.0,adfdsfsdfds,7.0,,adfdasfsdfsf,4.0,,asfdsafdsf,asfdsfdf,,,,,,,,2.0,asdfdsaf,asdfdsfsd,complete,,,72.3,2026-02
2026-03-01 19:58:26,2026-03-01 20:15:57,0,100,1050,1,2026-03-01 20:15:58,R_22AdjyFrQIsnyMs,1,4.0,"Databases, Pubmed, Citations and Style Guides",1.0,Best bets links are super helpful at the top of the library homepage.  ,,5.0,,,How do librarians choose the resources that they acquire on a regular basis? Are resources acquired if they are popular and is in demand or do librarians try to predict which resources will be useful to acquire them?,4.0,Collaboration with IT in making sure user’s PNWU credentials work well in accessing library resources. ,"Being able to access peer reviewed scholarly quality health information gives me confidence that the information I am reading is accurate, truthful, and trustworthy. ","It gives the community access to knowledge so they can make informed decisions to better their life. Accurate, trustworthy, credible, updated information is super important especially in this time when the government is actively trying to block education and resources for the public. Knowledge is power and people deserve the right to learn. Libraries help us grow and become better educated people. ",3.0,10.0,Evidence that people put high value in the library resources and library employees. Evidence that the library is being used often and it is in demand and that the library is not a dead space. ,,,,complete,,Promoter,17.5,2026-03
2026-03-03 13:18:49,2026-03-03 13:26:28,0,100,459,1,2026-03-03 13:26:29,R_1kSUbuAohDJ1LHf,1,4.0,Friendly staff,1.0,The librarians can always find what I need,,3.0,They seem to either be always busy or always slow when I walk in with questions. I  don’t know how that translates into their door count. ,,How do librarians keep up with all of the URL changes to articles? ,4.0,They teach students in the classroom for a few classes and students have commented that the sessions are helpful. ,It meant I was able to talk to the doctor about my mother’s health in an informed manner. ,It’s the only health sciences library in Yakima. ,1.0,6.0,,,,,complete,,Detractor,7.6,2026-03
2026-03-06 17:39:06,2026-03-06 17:42:55,0,100,229,1,2026-03-06 17:42:56,R_3Gd0CVhnhPT4Qnp,1,2.0,,1.0,,,2.0,,,,5.0,,,,1.0,4.0,,2.0,,,complete,,Detractor,3.8,2026-03
2026-03-09 09:07:21,2026-03-09 09:08:37,0,100,76,1,2026-03-09 09:08:39,R_2zO6jSbNXDjZntx,1,2.0,,1.0,,,3.0,,,,5.0,,,,1.0,0.0,,,,,complete,,Detractor,1.3,2026-03
