response_id,underrepresented_subjects,key_resource_for_students,first_day_wisdom,book_librarian_barrier,book_librarian_reason,research_materials_explain,research_access_location,ill_or_copyright_experience,ill_or_copyright_experience_detail,ill_or_copyright_barriers,underutilized_resource,underutilized_resource_impact,library_value_to_leadership
R_5lGkqSzjL3CkH9c,,,,,,,,,,,,,
R_5G9UYPMekeOE28r,,,,,,,,,,,,,
R_5ew54xzON4DfJLQ,,,,,,,,,,,,,
R_7phTOharDJGIM3A,,,,,,,,,,,,,
R_3D7jElyEi0f50hH,,,,,,,,,,,,,
R_6LU4Iu4T8Rq6bEV,,,,,,,,,,,,,
R_5RggZEy7HtEWukM,,,asfdsfd,asfdsfsdfds,,,asfdasfsdfsf,,,,afdfdsdsf,,aasfdsfsdfds
R_69oeSM7dkgy6b9v,,"Databases supporting rehab literature such as PubMed, CINAHL, Medline, etc.",Understand how to access library resources and course texts (especially digital versions).,,Booking is easy. Librarians are available. The biggest barriers is that students often don't know what questions to ask.,,Online databases available through the library.,5.0,,I have not needed the service. (I have only been at PNWU for 6 months).,"Putting down their phones, screens, and social media; Going to original sources.",Improved critical thinking skills. Better ability to synthesize evidence and draw their own conclusions.,Be more visible alongside the Office of Scholarly Activity. 
R_637Qbsb0u5g17xV,palliative care.,,learn to use the library and then use it.  ,,,,,5.0,,I do use the service and it is usually prompt.,Text books,It would supplement their classroom learning.,Just keep on keeping on
R_7Igb9R23L5Ie9Ct,,,Students do not use all the available resources or are unaware on how to use it. This is especially true in their ability to build critical thinking skills,,More efficient than navigating the systems by myself.,,"Online through library search or librarian services
",4.0,I use ILL very frequently.,,Image libraries and video libraries from the library systems,,
R_52ScowzZCJnGDvO,"I am an occupational therapy faculty member. OT literature is tricky because of the patchy access PNWU has to social sciences literature. One way of supporting the SOT would be to have a list of OT-related journals that we have access to and the ones we don't. 

In terms of resources I really like - I hadn't used Trip Pro before PNWU and I find it to be very useful. ",,"I was unaware of this initiative. Words of wisdom for students would be to check their technology including webcam and mic for hybrid courses, play around in Moodle, and find the materials for each course. ",,"Developing search strings, finding appropriate databases, clarifying research questions. ","I wish we had more access to social sciences-related research, and that the SOT didn't have to get individual memberships for faculty and students to access AJOT articles. I would also like to have access to a collection of resources that describe various research methodologies. ",,4.0,"I recently requested a textbook to use for my course. The library purchased a digital copy that is now available university wide. This saved costs for my department and makes the text available to the entire university. I also have requested individual chapters from larger texts that the Library has been able to provide/acquire at no cost to my department because they comprise less than 15% of the larger text. 

Otherwise, I don't really know much about the copyright services the Library provides. ",,I think the consult a librarian feature is pretty fantastic when it is used appropriately. My students had a great experience meeting with Anne and it very distinctly changed their approach to their projects. ,Utilizing the consult a librarian feature more often would probably decrease their anxiety levels! And would likely result in better final research products which may lead to further dissemination of those products. ,"I get consistent messaging that the Library is overextended and underresourced, so I hesitate to reach out to the Library. For example, it would be useful to have a Librarian come to one of my courses and describe best practices for searching databases. 

I think there's also an issue with the Library scope. Jan has communicated several big ideas over the past few years that would really stretch the current understanding at PNWU of what a Library is or should be. I can't tell if these are good ideas or not and neither can others, so we are kind of at an impasse of what to expect. "
